update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
134,34304,41.29553727,821,0,0,0,0,1.920641124,-0.015290858,-0.007364926,1.06E-05,0.006143454,0,0,0,0
,,,,,,,,,,,,,,,,
135,34560,41.55955248,827,0,0,0,0,1.930753827,-0.009772748,-0.002064963,1.36E-06,0.003084805,0,0,0,0
,,,,,,,,,,,,,,,,
136,34816,40.34147857,833,0,0,0,0,1.929168999,-0.01101229,-0.002529069,7.46E-06,0.003942927,0,0,0,0
,,,,,,,,,,,,,,,,
137,35072,41.35521121,839,0,0,0,0,1.927150726,-0.012363062,-0.005317707,2.77E-06,0.003666612,0,0,0,0
,,,,,,,,,,,,,,,,
138,35328,41.74303217,845,-1,0,-1,-1,1.893897593,-0.075019494,0.048516061,0.011764541,0.021706487,-1,0,-1,-1
,,,,,,,,,,,,,,,,
139,35584,40.38072702,852,0,0,0,0,1.92077142,-0.013627148,-0.005711686,1.30E-05,0.007936048,0,0,0,0
,,,,,,,,,,,,,,,,
140,35840,38.92605765,858,0,0,0,0,1.936494291,-0.009746106,-0.00248967,1.52E-06,0.002682456,0,0,0,0
,,,,,,,,,,,,,,,,
141,36096,39.02240505,865,0,0,0,0,1.937700748,-0.008459947,-0.001297667,7.49E-06,0.001727221,0,0,0,0
,,,,,,,,,,,,,,,,
142,36352,39.78788713,871,0,0,0,0,1.910677075,-0.022899134,-0.008274807,7.42E-05,0.010626569,0,0,0,0
,,,,,,,,,,,,,,,,
143,36608,39.33740987,878,0,0,0,0,1.929537594,-0.015362705,-0.004459101,1.39E-05,0.005663966,0,0,0,0
,,,,,,,,,,,,,,,,
144,36864,39.10346548,884,0,0,0,0,1.926053107,-0.019768924,-0.006964406,5.18E-05,0.017377261,0,0,0,0
,,,,,,,,,,,,,,,,
145,37120,39.89066231,891,-0.5,0.5,-1,0,1.8966344,-0.059679084,0.045326328,0.015944621,0.020726946,-0.5,0.5,-1,0
,,,,,,,,,,,,,,,,
146,37376,39.84278517,897,-1,0,-1,-1,1.86487025,-0.050562216,-0.020806098,0.000287254,0.060386313,-1,0,-1,-1
,,,,,,,,,,,,,,,,
147,37632,40.24037239,904,0,0,0,0,1.891348302,-0.040707121,-0.015062273,0.0008665,0.009962093,0,0,0,0
,,,,,,,,,,,,,,,,
148,37888,40.02120307,910,0,0,0,0,1.90329659,-0.034686383,-0.010137433,4.12E-05,0.007872082,0,0,0,0
,,,,,,,,,,,,,,,,
149,38144,39.88569088,916,0,0,0,0,1.908508182,-0.026355382,-0.008769342,5.02E-06,0.007099393,0,0,0,0
,,,,,,,,,,,,,,,,
150,38400,40.27577399,923,0,0,0,0,1.935241044,-0.016682525,-0.00493524,3.58E-06,0.003357151,0,0,0,0
,,,,,,,,,,,,,,,,
151,38656,40.8773437,929,0,0,0,0,1.932126343,-0.015839085,-0.004749433,8.71E-07,0.001826209,0,0,0,0
,,,,,,,,,,,,,,,,
152,38912,40.23195907,936,0,0,0,0,1.903618336,-0.009038574,-0.004655566,1.90E-05,0.004289219,0,0,0,0
,,,,,,,,,,,,,,,,
153,39168,40.23611553,942,0,0,0,0,1.93242085,-0.003960112,-0.003968964,5.73E-06,0.003831051,0,0,0,0
,,,,,,,,,,,,,,,,
154,39424,39.68188116,948,0,0,0,0,1.931808889,-0.004159084,-0.001926769,2.89E-06,0.002709262,0,0,0,0
,,,,,,,,,,,,,,,,
