update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
117,29952,33.58043375,901,4.772631645,1.772631645,3,6.54526329,"['0.152', '0.234', '-0.009']","['0.088', '0.042', '0.001']",0.545263171,0,0.545263171,0.545263171
,,,,,,,,,,,,,
118,30208,32.73354826,908,2.5,0.5,2,3,"['-0.017', '0.410', 'None']","['0.157', '0.330', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
119,30464,33.15017085,916,3,0,3,3,"['0.008', '0.201', 'None']","['0.004', '0.009', 'None']",0,0,0,0
,,,,,,,,,,,,,
120,30720,33.15129874,924,3,0,3,3,"['0.462', '0.223', 'None']","['0.173', '0.075', 'None']",0,0,0,0
,,,,,,,,,,,,,
121,30976,38.03737429,931,0,0,0,0,"['0.504', 'None', 'None']","['0.195', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
122,31232,29.66058486,939,3.288026333,3.288026333,0,6.576052666,"['0.062', '-0.993', '0.016']","['0.367', '0.454', '0.001']",0.576052606,0,0.576052606,0.576052606
,,,,,,,,,,,,,
123,31488,34.4318425,947,5.53245608,1.790733574,3,6.808157921,"['-0.809', '0.069', '-0.152']","['0.656', '0.095', '0.004']",0.79868421,0.009473711,0.789210498,0.808157921
,,,,,,,,,,,,,
124,31744,29.78174892,955,4.635723591,3.269662261,-1,6.864999771,"['0.097', '-0.237', '-0.086']","['2.472', '0.042', '0.003']",0.180964907,0.838554583,-1,0.86500001
,,,,,,,,,,,,,
125,32000,29.87540391,964,6.319999933,0.319999933,6,6.639999866,"['-1.419', '-0.028', '0.029']","['1.232', '0.005', '0.002']",0.639999986,0,0.639999986,0.639999986
,,,,,,,,,,,,,
126,32256,30.21607335,972,6.521403631,0.381156015,6,6.900526524,"['-0.567', '-0.042', '-0.033']","['0.252', '0.008', '0.002']",0.782105267,0.118421078,0.663684189,0.900526345
,,,,,,,,,,,,,
127,32512,30.04916246,981,6,0,6,6,"['0.047', '0.088', '0.033']","['0.005', '0.016', '0.000']",0,0,0,0
,,,,,,,,,,,,,
128,32768,30.53117495,989,6.362631559,0.789031962,5,6.905262947,"['-0.213', '-0.292', '-0.011']","['0.302', '0.190', '0.034']",0.362631589,0.789031988,-1,0.905263186
,,,,,,,,,,,,,
129,33024,29.98062027,998,6.707631588,0.353972322,6,6.900526524,"['-0.041', '-0.228', '-0.152']","['0.056', '0.027', '0.013']",0.88453947,0.011767876,0.8673684,0.900526345
,,,,,,,,,,,,,
130,33280,30.51639256,1006,6.739385923,0.331221655,6,6.928947449,"['-0.240', '-0.152', '-0.054']","['0.034', '0.024', '0.005']",0.887263143,0.021056333,0.872105241,0.928947389
,,,,,,,,,,,,,
131,33536,34.32643788,1014,5.918120316,2.416443787,0,6.94315815,"['0.037', '-0.346', '-0.046']","['0.144', '0.079', '0.001']",0.904473692,0.046364351,0.80342108,0.943157911
,,,,,,,,,,,,,
132,33792,30.44601646,1022,6.739385923,0.332762023,6,6.928947449,"['-0.204', '-0.001', '0.033']","['0.051', '0.003', '0.002']",0.887263179,0.040874311,0.817631602,0.928947389
,,,,,,,,,,,,,
133,34048,30.01164458,1031,5.918458666,2.416364603,0,6.936052799,"['0.041', '0.050', '-0.011']","['0.063', '0.002', '0.003']",0.904868424,0.030404999,0.848421037,0.93605262
,,,,,,,,,,,,,
134,34304,30.22663105,1039,6.083473682,1.542013697,3,6.886315823,"['0.079', '-0.025', '0.022']","['0.147', '0.119', '0.002']",0.854342103,0.032667897,0.80105263,0.886315763
,,,,,,,,,,,,,
135,34560,30.16119569,1048,6.694842052,0.355258631,6,6.926578999,"['0.032', '-0.068', '0.004']","['0.020', '0.008', '0.004']",0.86855264,0.082970822,0.725263178,0.926578939
